Ragione,Sorgente,Convalida,Pagine
Soft 404,Sito web,Non riuscita,33
"Pagina scansionata, ma attualmente non indicizzata",Sistemi di Google,Non riuscita,15
Pagina alternativa con tag canonical appropriato,Sito web,Non iniziata,8
Pagina duplicata senza URL canonico selezionato dall'utente,Sito web,Non iniziata,3
Pagina con reindirizzamento,Sito web,Non iniziata,2
"Rilevata, ma attualmente non indicizzata",Sistemi di Google,Non iniziata,10
"Pagina duplicata, Google ha scelto una pagina canonica diversa da quella specificata dall'utente",Sistemi di Google,Non iniziata,4
